"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Boyce_pvalue";"cAUC_pvalue";"AUC_pvalue";"TSS_pvalue"
"Alauda arvensis";"Trondheim";"RF";42;0,781;0,928825328619832;0,0000000000000708916971878691;0,999839020527547;0,999378082293951
"Alauda arvensis";"Trondheim";"SRE";42;0,781;NA;0,000000000000000238042535840918;0,903247171388688;0,902740105744664
"Anas penelope";"Trondheim";"ANN";81;0,739;0,394843132923754;0,164135537586985;0,98365672906535;0,967837040444087
"Anas penelope";"Trondheim";"CTA";81;0,739;0,373987832640493;0,0188609614013446;0,943267435959777;0,933025609536564
"Anas penelope";"Trondheim";"FDA";81;0,739;0,155229362291493;0,000730875933250141;0,984742906609773;0,995784858661548
"Anas penelope";"Trondheim";"GAM";81;0,739;0,808754649628387;0,000395562701098361;0,942023563102094;0,880342927598374
"Anas penelope";"Trondheim";"GBM";81;0,739;0,226467108617312;0,000000103800675145516;0,868826103822616;0,653196168862657
"Anas penelope";"Trondheim";"GLM";81;0,739;0,835113180130322;0,00000875018263605693;0,981254096915337;0,930197542348781
"Anas penelope";"Trondheim";"RF";81;0,739;0,124793560877964;0,00000871655821748239;0,977868531651505;0,987620767993119
"Anas penelope";"Trondheim";"SRE";81;0,739;NA;0,00381072572190479;0,988006350176691;0,988105750561701
"Anthus pratensis";"Trondheim";"ANN";169;0,886;0,72878012328782;0,0131789393171545;0,966986660329696;0,996947445374074
"Anthus pratensis";"Trondheim";"CTA";169;0,886;0,96280193103513;0,0303403807317503;0,997592556862534;0,987267433754751
"Anthus pratensis";"Trondheim";"FDA";169;0,886;0,00000501173876204137;0,00153104302449363;0,939862861105291;0,995269243622696
"Anthus pratensis";"Trondheim";"GAM";169;0,886;0,000000056452660096423;0,00193692448057754;0,911766227079098;0,946860533134381
"Anthus pratensis";"Trondheim";"GBM";169;0,886;0,000120380307957992;0,0000170174273875833;0,715196705644831;0,681862137059746
"Anthus pratensis";"Trondheim";"GLM";169;0,886;0,0000000195460888416049;0,000488915231828678;0,886798466562652;0,973480389636574
"Anthus pratensis";"Trondheim";"RF";169;0,886;0,00058969850035596;0,0000257989549578133;0,697671269909382;0,826143456472729
"Anthus pratensis";"Trondheim";"SRE";169;0,886;NA;0,086482908917498;0,999945829530024;0,999945682661736
"Anthus trivialis";"Trondheim";"ANN";150;0,477;0,999224866991905;0,105816136768677;0,999885047804843;0,999715673666564
"Anthus trivialis";"Trondheim";"CTA";150;0,477;0,999889390190665;0,135438811403635;0,999953908966563;0,999988907067022
"Anthus trivialis";"Trondheim";"FDA";150;0,477;0,994585171883051;0,000128562721040209;0,910825527167262;0,957401711916855
"Anthus trivialis";"Trondheim";"GAM";150;0,477;0,990620644711806;0,0114508969655903;0,994457962011903;0,998851481789994
"Anthus trivialis";"Trondheim";"GBM";150;0,477;0,980948503529538;0,30344129581941;0,999980413122204;0,999737959735023
"Anthus trivialis";"Trondheim";"GLM";150;0,477;0,999946147347121;0,373762262632378;0,99999819680805;0,999986368853247
"Anthus trivialis";"Trondheim";"RF";150;0,477;0,996395334676148;0,384112993818164;0,999985006795172;0,999654883521129
"Anthus trivialis";"Trondheim";"SRE";150;0,477;NA;0,957824037724119;0,999999999996688;0,999999999958146
"Asio flammeus";"Trondheim";"ANN";16;0,1;0,842828811445323;0,00117807719513192;0,636242102828008;0,887042465794524
"Asio flammeus";"Trondheim";"CTA";16;0,1;0,223451844156209;0,000157092998624339;0,353933946315839;0,499850031138339
"Asio flammeus";"Trondheim";"FDA";16;0,1;0,126972625197656;0,000247064789751653;0,416621184225707;0,512141028595017
"Asio flammeus";"Trondheim";"GAM";16;0,1;0,547949614376387;0,0105480567091024;0,862587711384695;0,933892708307376
"Asio flammeus";"Trondheim";"GBM";16;0,1;NA;NA;NA;NA
"Asio flammeus";"Trondheim";"GLM";16;0,1;0,300561758807572;0,00166391537583734;0,745520648744908;0,727366586224898
"Asio flammeus";"Trondheim";"RF";16;0,1;0,0240684689083339;0,00991922422624371;0,818882335982848;0,959880247897338
"Asio flammeus";"Trondheim";"SRE";16;0,1;0,729632217059219;0,0113099021894165;0,967347237476157;0,972619621512401
"Aythya fuligula";"Trondheim";"ANN";113;0,288;0,0141750493763066;0,0000344123336881086;0,995439959677802;0,735577423766784
"Aythya fuligula";"Trondheim";"CTA";113;0,288;0,259289658965856;0,000117970181187254;0,908517294414705;0,956930539507177
"Aythya fuligula";"Trondheim";"FDA";113;0,288;0,805344677516783;0,00181182451405924;0,999813332843735;0,998386599376265
"Aythya fuligula";"Trondheim";"GAM";113;0,288;0,995842414598265;0,00219942193622679;0,999662698266572;0,999579887531138
"Aythya fuligula";"Trondheim";"GBM";113;0,288;0,52265483396543;0,0000153011121393838;0,93672653017073;0,888701005055913
"Aythya fuligula";"Trondheim";"GLM";113;0,288;0,999885881871342;0,157150000084761;0,999999516413221;0,993893983348128
