"Species";"Site";"Model";"CV";"PA";"Group";"Nb Occ.";"Sample Bias";"Jaccard";"Bray-Curtis";"Boyce";"cAUC";"AUC";"TSS"
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA3";"Uncorrected";300;0,846;0,5;0,913361400398848;0,965;0,742230936613056;0,928;0,8
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;0,505;0,760053352769679;0,863;0,68
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,8;0,710230936613056;0,896;0,683
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;0,627;0,813053352769679;0,916;0,78
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,744;0,707230936613056;0,893;0,733
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA5";"Corrected";300;0,846;0,5;0,913361400398848;0,861;0,735053352769679;0,838;0,644
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA6";"Uncorrected";300;0,846;0,5;0,913361400398848;0,88;0,695230936613056;0,881;0,717
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA6";"Corrected";300;0,846;0,5;0,913361400398848;0,497;0,797053352769679;0,9;0,8
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA7";"Uncorrected";300;0,846;0,5;0,913361400398848;0,806;0,709230936613056;0,895;0,75
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA7";"Corrected";300;0,846;0,5;0,913361400398848;0,878;0,742053352769679;0,845;0,696
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA8";"Uncorrected";300;0,846;0,5;0,913361400398848;0,804;0,609230936613056;0,795;0,6
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA8";"Corrected";300;0,846;0,5;0,913361400398848;-0,02;0,795053352769679;0,898;0,695
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA9";"Uncorrected";300;0,846;0,5;0,913361400398848;0,942;0,715230936613056;0,901;0,683
